timestamp,open,high,low,close,volume,datetime,date,symbol,stock
1778471100,1430.0,1430.5,1424.5,1426.4,440500,2026-05-11 09:15:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778471400,1426.4,1426.8,1425.5,1425.5,158500,2026-05-11 09:20:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778471700,1425.5,1425.5,1421.7,1423.5,318500,2026-05-11 09:25:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778472000,1423.5,1425.9,1421.2,1422.1,175500,2026-05-11 09:30:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778472300,1422.1,1422.9,1420.5,1422.8,133500,2026-05-11 09:35:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778472600,1422.8,1425.4,1418.3,1418.4,367000,2026-05-11 09:40:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778472900,1418.5,1422.7,1417.7,1422.7,178000,2026-05-11 09:45:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778473200,1422.7,1422.8,1421.7,1422.8,41000,2026-05-11 09:50:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778473500,1422.8,1423.0,1420.6,1422.5,117500,2026-05-11 09:55:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778473800,1422.5,1424.0,1422.5,1422.8,104500,2026-05-11 10:00:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778474100,1422.8,1424.4,1421.0,1422.0,92500,2026-05-11 10:05:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778474400,1422.1,1423.7,1421.1,1423.7,76000,2026-05-11 10:10:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778474700,1423.6,1423.7,1420.1,1420.1,52000,2026-05-11 10:15:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778475000,1420.1,1422.7,1420.1,1420.3,78500,2026-05-11 10:20:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778475300,1421.0,1421.1,1419.6,1419.9,46000,2026-05-11 10:25:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778475600,1419.9,1421.3,1419.9,1420.8,37500,2026-05-11 10:30:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778475900,1420.8,1420.8,1419.2,1420.0,66500,2026-05-11 10:35:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778476200,1420.5,1420.9,1419.1,1420.2,50000,2026-05-11 10:40:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778476500,1420.5,1421.2,1419.2,1421.1,45000,2026-05-11 10:45:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778476800,1421.1,1424.0,1421.0,1424.0,33500,2026-05-11 10:50:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778477100,1424.0,1424.3,1422.7,1423.3,53500,2026-05-11 10:55:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778477400,1423.3,1424.2,1422.5,1424.2,22000,2026-05-11 11:00:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778477700,1424.2,1425.2,1424.2,1425.0,26500,2026-05-11 11:05:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778478000,1425.0,1425.2,1423.2,1423.2,22500,2026-05-11 11:10:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778478300,1424.0,1424.8,1423.8,1424.2,30500,2026-05-11 11:15:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778478600,1424.5,1425.4,1423.1,1425.0,112000,2026-05-11 11:20:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778478900,1425.0,1425.0,1423.1,1423.5,22500,2026-05-11 11:25:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778479200,1423.5,1423.8,1421.4,1422.5,36500,2026-05-11 11:30:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778479500,1422.5,1422.7,1420.8,1421.5,51000,2026-05-11 11:35:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778479800,1421.4,1422.9,1421.4,1421.7,43500,2026-05-11 11:40:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778480100,1421.7,1422.9,1417.0,1418.0,150000,2026-05-11 11:45:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778480400,1418.0,1419.8,1417.4,1419.3,26500,2026-05-11 11:50:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778480700,1419.3,1419.3,1417.5,1418.2,42000,2026-05-11 11:55:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778481000,1418.2,1418.6,1416.1,1417.0,89000,2026-05-11 12:00:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778481300,1417.0,1418.0,1416.6,1418.0,23000,2026-05-11 12:05:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778481600,1418.0,1418.0,1416.8,1417.1,23500,2026-05-11 12:10:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778481900,1417.1,1417.1,1416.3,1417.1,26000,2026-05-11 12:15:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778482200,1417.1,1418.1,1416.9,1417.6,20000,2026-05-11 12:20:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778482500,1418.0,1418.0,1415.2,1415.2,50000,2026-05-11 12:25:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778482800,1415.2,1415.2,1413.0,1414.3,121500,2026-05-11 12:30:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778483100,1414.3,1414.4,1411.0,1411.6,117500,2026-05-11 12:35:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778483400,1411.6,1412.8,1411.2,1411.5,76500,2026-05-11 12:40:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778483700,1411.5,1411.5,1409.1,1409.8,77500,2026-05-11 12:45:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778484000,1409.8,1411.4,1407.0,1408.0,200500,2026-05-11 12:50:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778484300,1408.0,1409.7,1407.9,1409.3,68500,2026-05-11 12:55:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778484600,1409.3,1409.3,1406.6,1406.6,103000,2026-05-11 13:00:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778484900,1406.7,1408.1,1405.2,1407.6,101000,2026-05-11 13:05:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778485200,1408.2,1409.3,1407.0,1408.2,109500,2026-05-11 13:10:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778485500,1408.2,1408.2,1407.0,1407.6,48000,2026-05-11 13:15:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778485800,1407.5,1408.8,1407.2,1408.4,43500,2026-05-11 13:20:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778486100,1408.4,1408.9,1408.0,1408.7,30500,2026-05-11 13:25:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778486400,1408.7,1410.0,1405.5,1405.6,161000,2026-05-11 13:30:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778486700,1405.8,1407.4,1405.5,1405.8,77000,2026-05-11 13:35:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778487000,1405.8,1407.0,1404.2,1406.1,73500,2026-05-11 13:40:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778487300,1406.1,1407.8,1405.8,1406.7,80000,2026-05-11 13:45:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778487600,1406.8,1407.5,1405.7,1407.4,59500,2026-05-11 13:50:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778487900,1407.4,1407.8,1406.0,1406.4,50000,2026-05-11 13:55:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778488200,1406.4,1406.4,1405.3,1405.7,82500,2026-05-11 14:00:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778488500,1405.6,1407.0,1405.3,1405.9,77000,2026-05-11 14:05:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778488800,1405.9,1405.9,1403.6,1403.8,84500,2026-05-11 14:10:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778489100,1404.2,1406.0,1403.9,1405.0,68000,2026-05-11 14:15:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778489400,1405.0,1407.0,1405.0,1405.9,61500,2026-05-11 14:20:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778489700,1405.7,1406.2,1404.5,1405.1,52500,2026-05-11 14:25:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778490000,1405.1,1406.1,1404.5,1405.3,73500,2026-05-11 14:30:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778490300,1405.3,1406.2,1404.1,1405.2,59000,2026-05-11 14:35:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778490600,1405.2,1405.4,1404.1,1404.4,38500,2026-05-11 14:40:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778490900,1404.6,1405.0,1402.9,1403.3,99500,2026-05-11 14:45:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778491200,1403.3,1405.3,1402.8,1404.4,77000,2026-05-11 14:50:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778491500,1404.4,1404.7,1400.5,1400.6,146500,2026-05-11 14:55:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778491800,1400.8,1401.1,1397.3,1398.7,309500,2026-05-11 15:00:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778492100,1398.7,1398.7,1396.0,1396.4,302500,2026-05-11 15:05:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778492400,1396.4,1397.4,1393.6,1393.6,442000,2026-05-11 15:10:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778492700,1394.0,1395.3,1392.0,1393.9,578500,2026-05-11 15:15:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778493000,1393.7,1394.4,1392.5,1393.3,360000,2026-05-11 15:20:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778493300,1393.6,1393.9,1388.5,1392.0,1067000,2026-05-11 15:25:00+05:30,2026-05-11,NSE:RELIANCE26MAYFUT,RELIANCE
1778557500,1393.0,1395.9,1390.5,1395.5,313000,2026-05-12 09:15:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778557800,1395.4,1395.4,1388.9,1389.8,176500,2026-05-12 09:20:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778558100,1389.8,1393.2,1385.0,1386.0,314000,2026-05-12 09:25:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778558400,1386.0,1388.7,1385.5,1387.2,140500,2026-05-12 09:30:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778558700,1388.5,1389.3,1386.6,1388.5,77000,2026-05-12 09:35:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778559000,1388.5,1389.0,1387.4,1388.0,54500,2026-05-12 09:40:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778559300,1388.0,1389.0,1387.5,1388.2,42000,2026-05-12 09:45:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778559600,1389.0,1390.0,1387.6,1389.0,50500,2026-05-12 09:50:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778559900,1389.0,1393.4,1388.0,1388.4,145000,2026-05-12 09:55:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778560200,1388.3,1389.0,1387.8,1388.2,85500,2026-05-12 10:00:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778560500,1387.5,1388.2,1385.5,1385.5,74000,2026-05-12 10:05:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778560800,1385.1,1386.0,1383.0,1386.0,100500,2026-05-12 10:10:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778561100,1386.2,1387.9,1386.0,1387.9,31500,2026-05-12 10:15:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778561400,1388.0,1390.0,1387.3,1387.4,98000,2026-05-12 10:20:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778561700,1388.0,1388.5,1385.6,1388.0,70000,2026-05-12 10:25:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778562000,1387.3,1389.0,1387.1,1387.7,30500,2026-05-12 10:30:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778562300,1388.7,1389.0,1387.6,1388.6,34500,2026-05-12 10:35:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778562600,1388.2,1389.0,1387.6,1388.0,29500,2026-05-12 10:40:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778562900,1388.3,1388.9,1386.9,1388.9,59500,2026-05-12 10:45:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
1778563200,1389.0,1389.0,1388.2,1388.7,41500,2026-05-12 10:50:00+05:30,2026-05-12,NSE:RELIANCE26MAYFUT,RELIANCE
